,level_0,index,Frequency (Hz),Trace th (*),Trace |Z| (Ohm)
0,0,0,1000.000000000001,-2.8192179149167473,6413.980823371512
1,2,3,1042.317429393305,-2.7496984195767205,6414.013607480851
2,4,7,1101.539309541416,-2.5463227843231477,6546.0047332989425
3,5,8,1116.863247780562,-2.563269325871522,6405.837960400633
4,6,10,1148.153621496884,-2.469605837067543,6428.05273253869
5,7,11,1164.126029410492,-2.4142804054224705,6577.5721940268795
6,9,14,1213.388850464979,-2.322339439984638,6519.177571291604
7,10,15,1230.268770812382,-2.3757845944275484,6402.166613178848
8,11,17,1264.736347471152,-2.354528479525129,6438.979326825145
9,13,20,1318.256738556409,-2.2319944384220882,6454.101687720278
10,15,23,1374.041975012516,-2.045965502009206,6576.624395099934
11,17,26,1432.1878992735449,-2.095334734157542,6379.877117858687
12,18,27,1452.111617587743,-1.9093767140210047,6580.673151000756
13,20,30,1513.56124843621,-1.9402374335759007,6553.409924920991
14,21,31,1534.616982799296,-1.9148733136782208,6358.5677572305185
15,22,33,1577.61126969935,-1.9100883378818918,6361.116268567258
16,24,36,1644.371723214932,-1.7177817076450739,6580.04844696175
17,25,37,1667.2472125510642,-1.6944727023987558,6575.1027399245495
18,26,38,1690.440931643265,-1.7067348186218882,6563.4509660642325
19,28,41,1761.976046411631,-1.7380777141507242,6373.037176509552
20,29,43,1811.3400926196039,-1.600881434155968,6555.8512840764815
21,31,47,1914.255925021088,-1.4856718774101783,6558.456790529118
22,32,49,1967.886289706847,-1.517896919883804,6459.859775816888
23,34,53,2079.696687103698,-1.433941955491579,6574.9285275751645
24,35,55,2137.962089502235,-1.37400727086189,6569.916513556773
25,36,57,2197.859872784828,-1.387177884987078,6568.418347536298
26,38,60,2290.867652767774,-1.464055541346925,6332.743728427502
27,39,61,2322.7367963571105,-1.331268794466482,6541.08811755732
28,40,62,2355.049283896011,-1.3273232850001202,6560.851548138299
29,41,63,2387.811282913181,-1.2647711615921031,6576.2132300924495
30,43,66,2488.857318282393,-1.2799838590868249,6342.9110621134
31,44,67,2523.480772480578,-1.174710145293439,6568.8916068700755
32,46,70,2630.267991895385,-1.300443418694431,6344.818150657647
33,47,71,2666.8586645214828,-1.1500316713403431,6574.036552022306
34,49,74,2779.713267759291,-1.1227544176802629,6572.7091056436475
35,50,75,2818.382931264458,-1.118366118563968,6487.196852379018
36,52,78,2937.649651961533,-1.191172425129237,6301.464136205066
37,53,80,3019.951720402019,-1.145639731303728,6423.7469007751415
38,54,81,3061.9634336906815,-0.9861799704416644,6567.741021385586
39,56,84,3191.537855100765,-1.043138749984153,6476.792702268374
40,58,87,3326.595532940047,-1.1433938719293149,6266.646275410129
41,60,90,3467.368504525317,-0.9338594158209752,6547.766362332231
42,62,93,3614.0986263961354,-0.9294314509766431,6548.976913508029
43,64,96,3767.037989839089,-0.8291530675396214,6553.7893077347535
44,65,98,3872.576449216173,-0.8751548898800803,6524.601397545147
45,67,101,4036.4539296760527,-0.8909311095700219,6563.072597194696
46,68,102,4092.60659730011,-0.8698532805365812,6556.425750926106
47,69,104,4207.266283844442,-0.9592101646849918,6398.470575005095
48,70,106,4325.1383103500875,-0.9750561318942604,6248.617785842367
49,71,108,4446.312674691088,-0.9037611549322532,6353.009607409179
50,72,109,4508.167045414605,-0.8567955754834524,6515.055572022118
51,74,112,4698.941086052156,-0.7746931335406182,6552.8923956677845
52,75,113,4764.309868054161,-0.81285140216867,6552.059921344903
53,77,116,4965.923214503363,-0.8048596642954453,6570.896648004046
54,78,118,5105.049999754065,-0.8729050376649785,6369.425242356601
55,79,120,5248.074602497728,-0.7696930985392638,6445.255015390426
56,80,121,5321.082592667947,-0.7645562540080029,6543.534138573719
57,82,124,5546.25712957911,-0.6827048552636551,6528.401919560048
58,83,125,5623.413251903497,-0.7898799245169104,6555.851111221806
59,85,128,5861.381645140291,-0.8564846274660846,6404.194295427983
60,86,130,6025.595860743579,-0.8366892951742654,6351.78939379138
61,87,131,6109.420249055726,-0.9971605753249974,6290.701030357036
62,88,132,6194.410750767818,-0.6577960745829107,6555.3920982601485
63,90,135,6456.542290346562,-0.6736979695997382,6557.386193210734
64,92,138,6729.766562843181,-0.6260153010245619,6476.818172246103
65,93,139,6823.386941416704,-0.6072031847831297,6547.275666750938
66,95,142,7112.135136533296,-0.6733176776530069,6480.995011481378
67,96,143,7211.0747918290035,-1.057848473113087,6216.880387024274
68,97,144,7311.390834834179,-0.6085735104304144,6552.415988877602
69,99,147,7620.790100254129,-0.5917636821906098,6582.756875395649
70,100,149,7834.296427662129,-0.6910508717858704,6517.181957648609
71,101,151,8053.784411990678,-0.5268152446355786,6548.002196383
72,102,152,8165.823713585932,-0.5629303544314652,6548.288456588524
73,104,155,8511.380382023774,-0.6991890676662202,6452.706293980467
74,106,159,8994.975815300364,-0.8970822661156823,6346.774831627329
75,108,162,9375.620069258812,-1.0696406129072542,6207.96250204792
76,109,163,9506.047936562829,-1.114679509666258,6227.293220360052
77,111,166,9908.319448927685,-0.7629356474169527,6468.170821739149
78,112,167,10046.15790278396,-0.6078514897882787,6549.608780345296
79,114,170,10471.285480509008,-0.5577372313251634,6559.950425647455
80,115,172,10764.652136298359,-1.190573861281741,6201.666378543034
81,116,174,11066.23783977667,-0.783811255973597,6511.9532678968335
82,118,177,11534.53257821093,-0.7417338952119311,6427.506759666526
83,119,179,11857.687481671608,-0.8820915843815191,6351.373534601424
84,120,180,12022.64434617414,-0.6787189736680939,6524.1265206429935
85,122,183,12531.41174941417,-0.5227219714799346,6555.020774374586
86,123,185,12882.49551693135,-0.5558064573573865,6549.017654416323
87,125,188,13427.64961137865,-0.5254335651441373,6532.3394358426685
88,126,189,13614.44682465951,-0.6182251137817106,6530.033916202757
89,127,190,13803.84264602886,-0.7879872727033892,6401.083055387979
90,129,193,14387.98578255847,-1.1288982515486001,6286.4610903922485
91,131,197,15205.475297324969,-0.7734553873330441,6494.79477944084
92,133,200,15848.93192461115,-0.6180398186796585,6550.277834414165
93,134,202,16292.96032639724,-0.970996716121184,6444.984040863689
94,136,205,16982.436524617442,-0.5908065602812625,6549.845473233213
95,137,206,17218.68574986007,-0.5813737183857614,6563.696792078142
96,139,209,17947.336268325267,-0.5317969693679446,6533.259220695904
97,140,211,18450.15419179474,-1.124764206127475,6435.768457052375
98,141,213,18967.05921211146,-0.867875131495232,6477.098065905825
99,142,215,19498.44599758046,-0.679306124945642,6526.94304926866
100,144,218,20323.57010936222,-1.0114070782051339,6419.313632887529
101,145,219,20606.29913270001,-0.5036785545688346,6498.143048561736
102,146,221,21183.61135248502,-0.9500552779525696,6506.61621843518
103,147,223,21777.09772353159,-0.7778688741305585,6543.813283108343
104,148,225,22387.211385683397,-0.7462557080124782,6552.558837947256
105,149,226,22698.648518838218,-0.6413841234948823,6580.809548265649
106,151,229,23659.196974857594,-0.7678089548047916,6500.071242506931
107,153,232,24660.3933723434,-0.9735439677703679,6513.864869956438
108,154,234,25351.286304979083,-0.7114902417496565,6544.993859825995
109,156,237,26424.08757321947,-0.7388712171350478,6537.686627357116
110,157,239,27164.39268839084,-2.1768274452541,6194.014827279518
111,159,243,28707.80582024692,-1.5552016115099951,6502.789580320792
112,161,246,29922.646366081914,-0.701941678592933,6476.913180697497
113,162,247,30338.91184194272,-0.5534814575262865,6420.451186320448
114,163,248,30760.9681474071,-1.679014319092804,6525.773901484776
115,165,251,32062.693245054666,-0.7888992451461769,6487.562719826949
116,166,252,32508.72973854345,-1.7837959294788641,6449.240276281821
117,167,254,33419.50400261144,-2.8093635035233806,6171.54519253091
118,169,257,34833.7315036012,-0.5973530237614434,6504.196527158427
119,170,259,35809.64371026362,-1.886447861796222,6434.08798514064
120,172,262,37325.01577957208,0.8205869439988479,6439.03239007059
121,174,265,38904.514499428085,-2.898927012844172,6473.223484071004
122,175,267,39994.47497610978,-1.7647747008056298,6380.756603043107
123,176,268,40550.853544838414,-0.6448724865175826,6541.4792155005325
124,178,272,42854.852039743986,-1.9547329144332632,6448.920691217455
125,180,276,45289.75799036211,-7.30121226593363,5522.4277438323425
126,181,278,46558.60935229593,-3.253580285515175,6201.1952912850475
127,183,281,48528.85001621215,-0.9151891462263448,6452.981594384551
128,184,282,49203.95356814509,-3.0941477374484436,6282.22725794079
129,186,285,51286.138399136486,-1.380321342774707,6534.786683822382
130,188,289,54200.089040162384,5.127152231496126,6452.870542133588
131,189,290,54954.087385762454,-4.373498694808802,6253.407120711093
132,191,293,57279.60309858293,-1.316902630507142,6287.309156715932
133,192,295,58884.3655355589,-2.6799620949518834,6366.237186531738
134,193,296,59703.52865838369,-1.9147739497568592,6657.669158965306
135,194,297,60534.08747539137,1.637411304920144,6805.281767620889
136,196,300,63095.73444801933,2.022233597237094,6170.415918926032
137,197,301,63973.48354826483,-20.54995613371993,3671.2698974016103
138,199,304,66680.67692136223,-26.521109293903237,5533.834220146759
139,200,305,67608.29753919819,-4.792173335739639,6249.343558929738
140,202,309,71449.63260755134,-0.4720110606464988,6507.551976398788
141,203,310,72443.59600749903,-0.1718525410506191,6425.436936857814
142,205,313,75509.22276654343,-1.55127972548649,6525.725991963839
143,206,314,76559.66069112565,-0.9802490108560936,6422.720370497964
144,208,318,80909.58991783825,-6.940357321195426,6409.722442465418
145,209,319,82035.15443298187,-2.317046522398364,6124.268894373577
146,211,322,85506.67128846838,1.531154967024048,6407.50982014458
147,213,325,89125.0938133746,3.1653983690245266,6443.963595765849
148,214,326,90364.94737223018,-8.444733976183366,6363.023999621974
149,215,327,91622.04901220002,-9.246307467674733,6280.171805407889
150,216,328,92896.63867799367,-7.9831419457175405,5776.694081348221
151,218,331,96827.78562612495,-1.7910937282749757,6019.887260263708
152,219,332,98174.7943019985,-1.780938276663905,6435.644239627856
153,221,335,102329.29922807551,2.7745910943300487,6077.61822053249
154,222,336,103752.8415818013,-6.224678888123089,6045.41094698052
155,223,337,105196.1873823224,-2.439787207898816,6183.945048966162
156,224,338,106659.6121230258,1.632556888367326,6373.711974372806
157,226,341,111173.1727281592,-7.88572993364404,6266.662683474922
158,227,343,114287.8334789772,-7.451316160871731,6098.113531538038
159,228,344,115877.7356155126,-3.4551280407344707,5863.986623145825
160,230,347,120781.383510678,-0.1730597491954424,6537.942915303963
161,231,348,122461.6199265049,-8.818860474619083,6040.973195119958
162,233,351,127643.88088113439,-0.169429094695821,6640.930593886441
163,234,352,129419.58414499859,-3.738914757943681,6316.872338453113
164,235,353,131219.9899019203,-5.903375158251222,6062.4166693513525
165,237,356,136772.8825595849,-5.629632529066662,6085.647905439529
166,238,357,138675.5828871889,-3.4073095246029514,6500.941734090899
167,239,358,140604.7524129914,-2.484808988136207,6581.016191367801
168,241,361,146554.7840955912,-5.209986499762215,6399.494350107337
169,243,365,154881.6618912482,-1.258478245828873,6287.438859702158
170,244,366,157036.2804333553,-4.3038408911924035,6285.008248236241
171,245,367,159220.87270511698,-4.0729181572002435,6279.330617573793
172,246,369,163681.6521427809,-2.133193639803908,6257.729833810058
173,247,370,165958.6907437561,-11.27744196235384,6162.677896534373
174,248,371,168267.4061070468,-5.052140050747976,6176.7331863992395
175,249,372,170608.2389003124,-5.437293580890817,6402.564282187345
176,251,375,177827.9410038923,-5.74039211078016,6224.530855755203
177,252,377,182810.0216142743,-4.339841000429868,6346.349837089231
178,254,381,193196.8317016925,-14.36376810165079,5853.796981158586
179,256,384,201372.4249862389,-4.790964143293186,6270.686398102314
180,257,385,204173.794466953,-10.566969914795491,5935.074871283827
181,258,386,207014.1348791043,-14.37754853985863,5729.9939009508425
182,259,387,209893.9883623525,-16.65561118095977,5767.717415496958
183,261,390,218776.16239495532,-7.798866941892594,6209.134969647694
184,263,393,228034.2072000419,-1.967744702112069,6601.825256274182
185,264,394,231206.4790175596,-17.081167214779143,5769.550344705208
186,265,395,234422.88153199232,-5.383905668550184,6068.952821912968
187,266,396,237684.0286624878,-11.956804712040038,6088.310117161134
188,267,398,244343.0552693973,-6.425486768094232,6292.7970223658285
189,269,401,254683.02525850423,-17.46282407005214,5621.727289581881
190,270,402,258226.0190634598,-3.78906970862639,6210.3638519532315
191,271,403,261818.3008218987,-5.401089238474075,6441.855886628082
192,273,406,272897.7782808042,-1.8927733934980402,6543.34039086183
193,274,407,276694.1645411511,-5.112698758568119,6372.265206767221
194,275,408,280543.3637951713,-6.5796198028419415,6188.795047693037
195,276,409,284446.1107447915,-9.753449771236422,5837.68457293593
196,278,412,296483.13895243424,-1.7909089596014092,5716.373921103486
197,280,415,309029.5432513591,-8.352422967396045,6222.777939389181
198,282,418,322106.8791283434,-18.556949751624032,5664.842964254361
199,284,421,335737.6142429546,-5.804097346858461,6537.1150049347825
200,285,423,345143.7393358562,-28.72631814028081,5307.949611754906
201,286,424,349945.16702835733,-4.312969674081475,5899.989580461281
202,288,427,364753.9469256078,-14.42138352307822,6051.820512223467
203,289,428,369828.1797802662,-9.570272747781976,5798.041325481353
204,291,431,385478.3576657718,-7.192291347244339,5458.096466848944
205,292,432,390840.89579240204,-2.479669983341894,5711.234544671548
206,293,433,396278.03425543953,-11.279436206123052,5781.101080055631
207,295,437,418793.5651179184,-2.175658453154534,6099.441127037636
208,296,438,424619.5639463129,-13.6423944133304,5890.031187037724
209,297,439,430526.6104917107,-13.618920348741641,6660.134386800697
210,299,442,448745.38993313216,-10.721210789260331,6628.514184570218
211,300,443,454988.0601500487,-18.010847706077033,5536.338930729657
212,301,444,461317.57456037955,-10.12471468559361,5702.846498676237
213,303,447,480839.34844972857,-11.71443555289752,6409.245874660151
214,304,449,494310.6869868356,-2.476741536205226,6306.285389875335
215,305,450,501187.2336272725,7.059804489556197,5752.228254254861
216,306,452,515228.64458175673,-15.10315300399847,5423.1028613853605
217,308,455,537031.7963702529,-30.90700836190672,4923.899013180132
218,310,458,559757.6014951103,-4.358707762606687,5346.917034898941
219,311,460,575439.9373371572,-12.57117043409519,5080.0261393198325
220,313,464,608135.0012787181,-13.37859068571465,5455.842492006032
221,314,466,625172.6927756862,-15.602245211680401,5104.232218522374
222,316,469,651628.3940608425,-19.48750053026951,5761.5600965149415
223,317,471,669884.6094165263,-2.8202443623566236,5160.280357474671
224,319,474,698232.4040771711,-6.066072502380469,5884.15421146099
225,320,476,717794.2912713615,-20.23454501455125,4854.550511505633
226,321,477,727779.8045368239,-22.77523471490571,5314.788056521713
227,323,480,758577.5750291836,-25.96369999580915,5342.521713580877
228,325,484,801678.063387679,-23.72297771715963,5080.103262064421
229,326,486,824138.1150130022,-45.2211393428849,4979.498997835669
230,327,488,847227.4141405963,-33.35853415087924,3924.626940634217
231,328,490,870963.5899560804,-15.08047805332735,4681.553920659548
232,330,493,907820.5301781857,-17.52356341234663,4709.054117483653
233,331,495,933254.300796991,-51.15178479816019,4814.952990353631
234,332,496,946237.161365793,-2.4809393609908033,4847.998099933426
235,334,500,1000000.0,-38.41431269053816,3799.223918106909
