,index,Frequency (Hz),Trace th (*),Trace |Z| (Ohm)
0,0,1000.000000000001,-2.755188901596405,7163.8118853370615
1,1,1013.9113857366801,-2.792383082431587,6995.0997245689205
2,2,1028.016298126475,-2.7185285219870687,7053.911778649134
3,3,1042.317429393305,-2.7229703909155707,7118.721808367129
4,4,1056.81750921366,-2.634866860121668,7124.125134714403
6,6,1086.425623617067,-2.649399286352202,7025.042468541452
8,8,1116.863247780562,-2.377398950240426,6981.431888116537
9,9,1132.400363235558,-2.327270972601467,7138.764805215935
11,11,1164.126029410492,-2.237677476300439,7163.346493063277
12,12,1180.320635651731,-2.297762821435899,6966.739523353944
13,13,1196.740531307244,-2.28924396909623,6988.210104354149
14,14,1213.388850464979,-2.2436387943596143,7008.325599320407
16,16,1247.383514242945,-2.161618256319015,7070.681541817862
18,18,1282.330582656023,-2.06820989508743,6998.4109176757265
19,19,1300.169578033291,-2.0900715425633667,6983.542025127561
21,21,1336.595516546443,-1.990180624288449,7137.361247059847
23,23,1374.041975012516,-1.918967379958598,7141.799917741252
24,24,1393.156802945305,-1.905219447249864,7134.3218338985025
25,25,1412.5375446227551,-1.9491903099019798,6948.769455682746
26,26,1432.1878992735449,-1.8766839130296618,7082.108582657949
27,27,1452.111617587743,-1.797784733074151,7114.062300423574
29,29,1492.794409578997,-1.842334280193336,6978.8865904567965
30,30,1513.56124843621,-1.766828236512537,7140.717084700876
32,32,1555.9656316050769,-1.702373552502481,7130.180491634806
34,34,1599.558028614671,-1.719519421092566,7027.078653954554
35,35,1621.810097358931,-1.7600803048232379,6925.959477024246
37,37,1667.2472125510642,-1.622628009151119,7091.809241689009
38,38,1690.440931643265,-1.6052744581441498,7124.69452366187
39,39,1713.9573075084272,-1.591213453820605,7131.729649606553
41,41,1761.976046411631,-1.598564549199276,6953.39929228367
42,42,1786.487574852052,-1.512331345983285,7086.433803113335
44,44,1836.5383433483469,-1.45855923198345,7135.726305637331
45,45,1862.087136662869,-1.44735441767127,7133.526928712144
47,47,1914.255925021088,-1.405418850403425,7155.695434594803
48,48,1940.885877592779,-1.4178347365074442,7088.650867728973
50,50,1995.262314968881,-1.4692809676091998,6949.854140912542
51,51,2023.0191786782739,-1.4723733244542068,6893.097977032223
53,53,2079.696687103698,-1.318445839047613,7122.2285834566965
54,54,2108.628149933291,-1.3774041038052283,6992.061519216233
56,56,2167.704104819696,-1.267788736659262,7160.448131566874
57,57,2197.859872784828,-1.3411188589487257,6886.0061753196605
59,59,2259.4357702209804,-1.2383502923360938,7141.087655025008
60,60,2290.867652767774,-1.195641401073821,7136.623833355886
62,62,2355.049283896011,-1.1985894112297029,7089.883549880461
64,64,2421.02904673618,-1.148901995585588,7161.992365267859
65,65,2454.708915685034,-1.1615442878164757,7125.429826941252
67,67,2523.480772480578,-1.094377449671996,7137.709141274063
68,68,2558.585886905648,-1.12126315950126,7130.458648117718
70,70,2630.267991895385,-1.086961597048843,7123.714427647486
71,71,2666.8586645214828,-1.1004316227475128,7117.525178852662
72,72,2703.958364108846,-1.1333848674102882,7114.308737157933
74,74,2779.713267759291,-1.0589950230908491,7120.123708549419
76,76,2857.5905433749485,-0.9928861827688592,7147.941362313528
77,77,2897.343587701328,-1.0422560597862842,7008.048295148845
78,78,2937.649651961533,-1.082952246411605,6993.98858735889
80,80,3019.951720402019,-1.006155710665519,7075.122355049279
82,82,3104.559588128359,-0.9870460949790346,7079.157596781146
84,84,3191.537855100765,-0.9234680392702218,7095.382474863303
86,86,3280.952931131191,-0.9263965554099948,7099.996837795575
87,87,3326.595532940047,-0.9439294577910547,7052.363357531981
88,88,3372.873086588689,-0.9104371383688306,7119.989316275732
90,90,3467.368504525317,-1.097046534609572,6843.48071236162
91,91,3515.604405282983,-0.901082849911322,7072.289320662783
92,92,3564.511334262443,-0.8838963039977146,7077.212620955072
94,94,3664.375746478333,-0.8785396798981411,7086.835844761123
96,96,3767.037989839089,-0.8181372405741171,7153.758949922441
97,97,3819.4427084004683,-0.8077447736239958,7131.68114001831
98,98,3872.576449216173,-0.8165288162575309,7131.156264335086
100,100,3981.0717055349733,-0.8021456584958149,7127.499766243027
102,102,4092.60659730011,-0.8074735479718395,7096.7291116190845
103,103,4149.540426343632,-0.7523950907626465,7088.5778794725675
105,105,4265.79518801593,-0.7788233544485316,7123.952729210322
107,107,4385.30697774986,-0.6928195370491812,7146.770880741999
109,109,4508.167045414605,-0.7158896911187579,7135.0470901621065
110,110,4570.881896148752,-0.7679960056131878,7104.507101100641
112,112,4698.941086052156,-0.7153835976144906,7156.284394592064
113,113,4764.309868054161,-0.8785129217643095,6906.125414886938
115,115,4897.788193684466,-0.8236363331975624,6982.1722813106535
116,116,4965.923214503363,-0.7145061762386637,7116.383602224963
118,118,5105.049999754065,-0.7416461273348416,7150.842899273036
120,120,5248.074602497728,-0.6989857834287423,7151.038178342228
121,121,5321.082592667947,-0.7167294543564628,7128.128729084124
123,123,5470.159628939721,-0.682735386608327,7130.337810959796
124,124,5546.25712957911,-0.6274762648231854,7132.165559702924
125,125,5623.413251903497,-0.631275946225802,7142.359664206609
127,127,5780.960474057188,-0.6797425311282373,6989.880854271341
129,129,5942.921586155732,-0.6349731100901949,7102.682509900395
131,131,6109.420249055726,-0.6448833670156181,7095.9836352128505
132,132,6194.410750767818,-0.6142098790777051,7126.2072755531835
134,134,6367.955209079162,-0.8448902741321366,6807.078118209374
135,135,6456.542290346562,-0.5711969579996733,7124.766147901259
137,137,6637.430704019095,-0.6060694624469327,7109.540546391068
138,138,6729.766562843181,-0.6327528347008563,7033.420287031775
139,139,6823.386941416704,-0.6069260216669726,7110.708584131308
141,141,7014.55298419972,-0.5965932968950776,7113.877942183829
142,142,7112.135136533296,-0.6032873001973479,7113.011986538913
143,143,7211.0747918290035,-0.5671459497011433,7103.158166116761
145,145,7413.102413009185,-0.6041393972161769,7106.592128292667
147,147,7620.790100254129,-0.531663529219609,7104.3076492374685
149,149,7834.296427662129,-0.5167128462916221,7107.181768435791
151,151,8053.784411990678,-0.5480476065072966,7119.915086945119
152,152,8165.823713585932,-0.5818013531114758,7078.669990299897
154,154,8394.59986519398,-0.6002345880066199,7086.973895019879
155,155,8511.380382023774,-0.8205390037481831,6901.15339149264
157,157,8749.837752274372,-0.5153128970448653,7141.75796221468
158,158,8871.560120379616,-0.5922656073532706,7104.815240618844
160,160,9120.108393559103,-0.8611644071155173,6879.441241669464
162,162,9375.620069258812,-0.5412473061985905,7121.929537642849
163,163,9506.047936562829,-0.5748988624676602,7114.125197395197
164,164,9638.290236239714,-0.8457205377765232,6874.648027378504
165,165,9772.372209558123,-0.5377976025172271,7065.902704090398
166,166,9908.319448927685,-0.5002437157163999,7140.176246315228
168,168,10185.913880541179,-0.5143827585787842,7117.752861687813
170,170,10471.285480509008,-0.4690154784903728,7115.870052677768
172,172,10764.652136298359,-0.973578709939316,6818.805253785067
173,173,10914.40336448757,-0.5245591843940147,7121.174643317347
175,175,11220.18454301964,-0.8590157359246265,6918.7687427189185
177,177,11534.53257821093,-0.5781863936246123,7092.3721187075525
178,178,11694.99391019872,-0.9611680478323086,6831.534866232103
179,179,11857.687481671608,-0.5307605137100917,7101.972570029128
180,180,12022.64434617414,-0.5408592188372879,7116.541193602679
182,182,12359.474334445109,-0.6220620088928167,7097.970909937052
184,184,12705.74105208543,-0.8455651584252871,6941.715037311912
185,185,12882.49551693135,-0.5199501878938484,7106.337882728018
187,187,13243.41535194666,-0.5540724515087466,7130.733472347947
188,188,13427.64961137865,-0.6118848931045503,7053.839970021002
189,189,13614.44682465951,-0.580453739055792,7112.612699073092
191,191,13995.87322572619,-0.8686086214660059,6937.749855080338
193,193,14387.98578255847,-0.6236134897772809,7037.411794941711
194,194,14588.142602753502,-0.7115346667501014,7077.760433386393
196,196,14996.84835502375,-0.5064597863917669,7128.119914031096
197,197,15205.475297324969,-0.6574064378665914,7087.862875023479
199,199,15631.476426409561,-0.6231987943635334,7118.853698600596
201,201,16069.412530128791,-1.258055409696692,6790.783849022033
202,202,16292.96032639724,-0.7334262927639988,6964.001685059338
203,203,16519.617982290158,-0.7932875725949783,7028.293082721612
204,204,16749.428760264367,-0.9204523962814584,7066.2949116906375
206,206,17218.68574986007,-0.4705494692404233,7097.096240134956
208,208,17701.08958317421,-0.8389042046641223,6963.378733305516
209,209,17947.336268325267,-0.5624640752837574,7105.5027557203175
211,211,18450.15419179474,-0.7027428852253695,7083.405983526584
213,213,18967.05921211146,-0.4835681635118013,7110.697930677479
214,214,19230.91728910159,-0.4994517407687172,7081.388636709755
216,216,19769.69640111861,-0.460683039423386,7132.288600885064
217,217,20044.72027365162,-0.7535219155433629,7056.2467424267115
218,218,20323.57010936222,-0.6450075851535637,7076.409391146703
219,219,20606.29913270001,-0.5255721344401068,7105.425236821557
221,221,21183.61135248502,-0.834724322295848,7028.919814002387
222,222,21478.304741305343,-1.048612890245386,7030.244140622203
223,223,21777.09772353159,-0.6420007980669543,7095.382567452681
224,224,22080.047330188998,-0.6543590197937165,7118.33408002825
226,226,22698.648518838218,-1.3493583267071472,6945.094565576491
227,227,23014.418174085095,-0.4646275514325616,7130.745488432253
229,229,23659.196974857594,-0.7026924280929304,7107.110492116512
231,231,24322.04009073816,-0.614307039516666,7098.663052610896
233,233,25003.453616964318,-0.8790183878464125,7053.897551035511
234,234,25351.286304979083,-1.474299683638461,6865.607065209393
235,235,25703.957827688653,-0.9868526119647059,7047.661625648327
237,237,26424.08757321947,-0.5040348564397914,7096.731065989581
238,238,26791.683248190333,-0.3778664888371833,7071.726885904945
240,240,27542.28703338168,-1.109963229407255,7071.788096476249
241,241,27925.438412373387,-0.6065970220844843,7021.251675705784
243,243,28707.80582024692,-1.289578490389442,6881.324152926652
245,245,29512.09226666387,-0.7551763065713418,7069.865752657327
247,247,30338.91184194272,-1.3273031705365579,7075.759343774434
248,248,30760.9681474071,0.06533165231995586,7068.517549583898
249,249,31188.89584093939,-0.8651627009536741,7053.8489273627665
250,250,31622.776601683814,-2.3399833385266993,6789.065474265647
251,251,32062.693245054666,-0.5396381343719265,7067.603241410506
252,252,32508.72973854345,-0.6850081957551684,7075.631767147068
253,253,32960.971217745784,-0.4617498237394754,7091.7854586113945
255,255,33884.41561392028,-0.4917813417651112,7094.7054901752535
256,256,34355.79478998748,-0.8290491380839207,7106.159230040798
258,258,35318.31697919572,-0.1332564744362384,7126.677365588432
259,259,35809.64371026362,-0.3959674095954425,7090.809808558475
260,260,36307.80547701016,-0.528662776729661,7058.879398955272
262,262,37325.01577957208,-1.058360260867993,7018.413035081273
263,263,37844.25847170936,0.1903709253195334,7106.725107572652
265,265,38904.514499428085,-0.844221434353478,7065.905271878496
267,267,39994.47497610978,-0.8465178936228734,7089.122794595451
269,269,41114.972110452254,-1.379605560125043,7066.663771923917
270,270,41686.93834703357,-1.349180457415714,7020.056678720034
271,271,42266.86142656033,-0.22123083621163397,7157.933913474639
273,273,43451.02241715719,0.056527943775775975,7228.415731985332
274,274,44055.486350655374,-3.1095780503396986,7137.2397008612415
275,275,44668.35921509634,1.049573414533103,7009.376743677514
276,276,45289.75799036211,1.355506835407587,6465.980744221622
277,277,45919.80128368689,3.855779533318178,6997.310133795529
279,279,47206.30412635909,3.5755400748638904,6545.328065176242
281,281,48528.85001621215,1.8508551170038632,6396.422818629372
282,282,49203.95356814509,8.305766733279514,4773.772980230602
284,284,50582.4662003114,-1.142028275425355,7036.351420502883
286,286,51999.59965335159,4.610717751786849,6604.421246825339
287,287,52722.986142282265,1.8916774267034209,7297.274731432598
289,289,54200.089040162384,-0.05009782323827498,7056.925812049621
290,290,54954.087385762454,-14.95704608932238,6875.815390817306
292,292,56493.69748123025,3.1130071671694712,7096.7686785982105
294,294,58076.44175213121,-1.362108630918307,7062.972522277933
296,296,59703.52865838369,-1.4198622091604742,6994.145479544459
297,297,60534.08747539137,7.1289378827861425,6858.477836090654
298,298,61376.200516479425,3.207735722590635,6684.246765290537
300,300,63095.73444801933,0.9286923101614574,6619.5608768355505
301,301,63973.48354826483,1.596662098010327,7365.7613142324135
303,303,65765.78373554205,-2.6579869489931984,7166.398107654493
305,305,67608.29753919819,-1.674404385725486,7025.116855108605
306,306,68548.82264526616,-1.693901545956189,7052.685285518239
308,308,70469.30689671471,-3.032631092872262,6958.4862634152905
310,310,72443.59600749903,-2.682131302622063,6775.8090311936185
311,311,73451.3868157115,-1.0319769807783281,7014.162664612931
313,313,75509.22276654343,-3.7053305899958344,7031.5366722501685
314,314,76559.66069112565,-2.924662583318395,6506.037905813728
315,315,77624.71166286919,-3.239150489301702,6346.542113711795
316,316,78704.57896950988,-1.254991684552019,6920.689509111546
318,318,80909.58991783825,2.2078409770815752,6845.7053624499085
319,319,82035.15443298187,-3.6961834785391434,7087.710908334288
321,321,84333.47577642757,1.249760480149757,7116.15581579174
322,322,85506.67128846838,-4.995639869679733,6460.476494211556
324,324,87902.25168308847,2.372086657079814,6791.229213393935
325,325,89125.0938133746,-6.095479720443017,6668.016432897093
326,326,90364.94737223018,-6.555277937619441,6870.38912574677
328,328,92896.63867799367,0.8123316777914419,6909.321707916961
329,329,94188.95965228416,-3.3065924045274087,6405.231729639459
330,330,95499.25860214363,0.9829740956137532,6400.335172734508
332,332,98174.7943019985,-2.2922598927150317,7138.255475260807
333,333,99540.54173515273,-6.674258628660811,6367.000228098558
334,334,100925.2886076685,-1.407094017081491,6968.335618710738
335,335,102329.29922807551,1.5125413846611988,7008.1598538667495
336,336,103752.8415818013,-3.768809608962248,7262.357410225864
338,338,106659.6121230258,-1.910180333928147,6980.021147656143
339,339,108143.3951297939,-3.4455133750256652,6958.157121080742
340,340,109647.81961431859,-2.475038809401721,7031.224518329769
342,342,112719.74561755109,-5.483363698626978,6738.793145574494
344,344,115877.7356155126,0.1875537589549282,7082.403691698721
346,346,119124.2008027375,-1.170535919674906,7011.615103597475
348,348,122461.6199265049,-4.21550180827005,7031.655809316989
350,350,125892.5411794167,-5.9743470796609985,7000.557250439662
352,352,129419.58414499859,0.2592633368883331,6752.15188720244
354,354,133045.4417978091,0.8307187233618436,6815.528127492961
355,355,134896.2882591654,-1.8612727210329267,6802.13169109
357,357,138675.5828871889,-8.52313215480057,7005.497794687299
359,359,142560.7593602188,-3.8689400570185084,6881.52288806936
361,361,146554.7840955912,-13.47455833550375,6463.871153961762
362,362,148593.5642287007,-8.288673357634352,6707.033627606731
364,364,152756.6058238073,-4.470701250747514,6514.218176819176
365,365,154881.6618912482,-8.095225851493135,6878.343592656313
367,367,159220.87270511698,-4.458688543253548,6911.574814374311
368,368,161435.8556826487,-6.937389112709909,6886.6290539065585
369,369,163681.6521427809,-3.6762162913804084,6825.3345949135655
371,371,168267.4061070468,-4.570232591815826,6846.806471926444
372,372,170608.2389003124,-8.026758711809348,6599.813963721956
373,373,172981.6359215102,-7.972992890455176,6817.335612342241
374,374,175388.0501841762,-2.470645542811897,7016.928812986359
376,376,180301.77408595692,-6.691274340549032,6611.311095551642
378,378,185353.16234148122,-0.7138360307417242,6848.924872984837
379,379,187931.6816803269,-13.12204071852582,6274.83099915148
381,381,193196.8317016925,-5.236410364445046,7129.207036485445
382,382,195884.4673505991,-7.956737044333385,7085.011102165065
383,383,198609.4917357372,-8.693708417705993,6795.758523581621
384,384,201372.4249862389,-9.363158758671606,6834.638957675403
386,386,207014.1348791043,-4.302106959335451,6775.516959460965
387,387,209893.9883623525,-10.95015473923101,5888.6163458013425
388,388,212813.9045982713,-4.619318073407008,6347.600879340235
389,389,215774.44091526672,-4.60586448468605,6570.329203871727
391,391,221819.641980022,-5.751733124573005,6223.398879987413
393,393,228034.2072000419,-5.629536937357655,6882.719485252471
395,395,234422.88153199232,-9.290622654200822,7122.587051492982
396,396,237684.0286624878,-5.463716553308189,6900.732765445754
397,397,240990.5428686596,-11.606772590563619,6917.905613085914
399,399,247742.2057633287,-10.001331118592029,6792.283123395497
401,401,254683.02525850423,-8.768224633376677,7067.804851768342
402,402,258226.0190634598,-7.705964505616876,6925.095921976124
404,404,265460.5561975541,-22.697130740332323,6364.736370404239
406,406,272897.7782808042,-13.62157386808611,6283.173978802338
408,408,280543.3637951713,-9.927912629898287,6683.696610966542
409,409,284446.1107447915,-7.028285224998784,6910.466593454742
411,411,292415.2377843335,-11.559960224416841,6519.933363472989
412,412,296483.13895243424,-9.880425995133528,6507.890141945415
414,414,304789.4989627983,-14.35213300440682,7199.691081368897
415,415,309029.5432513591,-6.983089155994202,7096.9485948792135
416,416,313328.5724315585,-11.99329048936865,6659.276554782911
418,418,322106.8791283434,-24.8054629300316,6000.290254759178
419,419,326587.83217233577,-22.49778213928558,6711.22706117479
421,421,335737.6142429546,-25.19404645143971,6271.603426348255
422,422,340408.1897010009,-7.669164735644793,7064.052541586622
424,424,349945.16702835733,-16.743553296198098,6992.221487971779
425,425,354813.3892335755,-14.59002383019042,6559.430341820734
426,426,359749.33515574224,-10.0320647810497,6458.919113777193
428,428,369828.1797802662,-16.511571542008323,7077.744987544932
429,429,374973.0022454835,-17.249587323733,6631.925464106712
431,431,385478.3576657718,-3.770136352287201,6712.088790183366
432,432,390840.89579240204,-7.128004119727218,6559.495271894443
434,434,401790.81084894,-9.665395169184707,6574.136563950417
436,436,413047.5019901614,-9.028321424067483,6501.761759344319
437,437,418793.5651179184,-14.91404385753912,6090.280835283568
439,439,430526.6104917107,0.2340891735094084,6437.214326231889
440,440,436515.832240166,-3.240911426377508,6274.187077214596
441,441,442588.37236262654,-8.770471616647766,6304.9991021818405
443,443,454988.0601500487,-5.785304998670787,6883.5466293769105
445,445,467735.1412871983,1.5564390792723768,6860.622329936229
446,446,474241.9852602447,-3.666528627606024,6568.444929559078
447,447,480839.34844972857,-1.829462882662681,6549.233589663455
448,448,487528.49010338646,-0.6591839258381837,5925.265848295904
449,449,494310.6869868356,-9.717288642994577,5941.637980897638
450,450,501187.2336272725,-12.00410829245213,6544.76197347212
451,451,508159.4425605607,-10.852563529615159,7891.94812863172
453,453,522396.18899912,3.518114006308103,6957.758189550296
454,454,529663.443891658,-12.56235148144917,6448.115095585825
455,455,537031.7963702529,-15.23758015426791,5392.747437951501
456,456,544502.6528424214,-19.138795416131693,5380.5735923939
457,457,552077.4392807576,0.9401583010678426,6778.768259714688
459,459,567544.6054085472,-16.22819618218114,6613.773513287548
460,460,575439.9373371572,-22.07207102027172,6194.430103541454
461,461,583445.104273745,-15.93562573561862,5666.782645072331
462,462,591561.6341754742,-7.947407907650907,5740.73132651466
464,464,608135.0012787181,-21.96187086163495,4991.148346636592
466,466,625172.6927756862,-16.317056657236833,6175.325548862622
467,467,633869.7112569272,-30.12452771704723,5691.135441487879
468,468,642687.7173170199,-27.825799072225514,5975.439341382972
469,469,651628.3940608425,-20.372662579461853,6073.3586149838175
471,471,669884.6094165263,-27.96404674968482,6275.107548524276
472,472,679203.6326171843,-38.17354653934447,5309.849342141772
474,474,698232.4040771711,-44.36930550768404,6391.402922613546
475,475,707945.7843841376,-23.546159588620792,7721.649014900931
477,477,727779.8045368239,-29.98173932905787,7013.963061936669
478,478,737904.2301291006,-30.96648981996715,5339.98265825341
480,480,758577.5750291836,-39.122934228530724,7519.295918867262
481,481,769130.4402866096,-27.184102166525477,6103.409486996654
482,482,779830.1105232586,-20.895788738806807,4732.475971145735
484,484,801678.063387679,-37.65459497958413,6760.17572218866
485,485,812830.5161640991,-32.98271105414581,5799.013889540063
486,486,824138.1150130022,-62.41995553044283,5699.7460658374985
487,487,835603.018231248,-29.41153911810466,6002.346811417846
489,489,859013.5215053956,-27.30850539708882,5812.930090876639
490,490,870963.5899560804,-30.748921254845577,5294.8679153606545
491,491,883079.9004185627,-39.448894650684174,4889.663429911573
493,493,907820.5301781857,-32.75928017060175,6053.853557330923
494,494,920449.5717531713,-51.50149751728141,5654.122943829297
496,496,946237.161365793,-63.45783753050807,3471.21738531549
497,497,959400.6315159331,3.1433503199255433,5049.13065111404
499,499,986279.4856312105,-74.36591655049862,4670.553117198308
500,500,1000000.0,-48.51843133129365,7611.449473863031
